,Cable/Satelite,,,,,,,,,,,,, $-   
,Internet, $29.00 ,,,,,,,,,,,, $29.00 
,Furnishing/Appliances,,,,,,,,,,,,, $-   
,Lawn/Garden,,,,,,,,,,,,, $-   
,Maintenance/Improvements,,,,,,,,,,,,, $-   
,Other,,,,,,,,,,,,, $-   
,," $2,423.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
,TRANSPORTATION,,,,,,,,,,,,,
,Car payments, $250.00 ,,,,,,,,,,,, $250.00 
,Auto Insurance, $100.00 ,,,,,,,,,,,, $100.00 
,Fuel, $100.00 ,,,,,,,,,,,, $100.00 
,Public Transporation,,,,,,,,,,,,, $-   
,Repairs/Maintenance,,,,,,,,,,,,, $-   
,Registration/License, $100.00 ,,,,,,,,,,,, $100.00 
,, $550.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
,DAILY LIVING,,,,,,,,,,,,,
,Groceries, $250.00 ,,,,,,,,,,,, $250.00 
,Child care, $100.00 ,,,,,,,,,,,, $100.00 
,Dining out, $100.00 ,,,,,,,,,,,, $100.00 
,Clothing,,,,,,,,,,,,, $-   
,Cleaning,,,,,,,,,,,,, $-   
,Salon/Barber, $100.00 ,,,,,,,,,,,, $100.00 
,Pet Supplies, $101.00 ,,,,,,,,,,,, $101.00 
,, $651.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
,ENTERTAINMENT,,,,,,,,,,,,,
,Video/DVD/Movies, $250.00 ,,,,,,,,,,,, $250.00 
,Concerts/Plays, $100.00 ,,,,,,,,,,,, $100.00 
,Sports, $100.00 ,,,,,,,,,,,, $100.00 
,Outdoor Recreation,,,,,,,,,,,,, $-   
,, $450.00 ,,,,,,,,,,,,
,HEALTH,,,,,,,,,,,,,
,Health Insurance, $65.00 ,,,,,,,,,,,, $65.00 
,Gym membership, $20.00 ,,,,,,,,,,,, $20.00 
,Doctors/Dentist visits,,,,,,,,,,,,, $-   
,Medicine/Prescriptions,,,,,,,,,,,,, $-   
,Veterinarian,,,,,,,,,,,,, $-   
,Life Insurance,,,,,,,,,,,,, $-   
,, $85.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
,VACATION/HOLIDAY,,,,,,,,,,,,,
,Airfare, $450.00 ,,,,,,,,,,,, $450.00 
,Accomodations, $250.00 ,,,,,,,,,,,, $250.00 
,Food, $200.00 ,,,,,,,,,,,, $200.00 
,Souvenirs, $50.00 ,,,,,,,,,,,, $50.00 
,Pet Boarding, $100.00 ,,,,,,,,,,,, $100.00 
,Rental car, $150.00 ,,,,,,,,,,,, $150.00 
,," $1,200.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
,TOTAL," $5,359.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
,,,,,,,,,,,,,,,
,CLICK HERE TO CREATE PERSONAL BUDGET TEMPLATES IN SMARTSHEET,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
